c CS 4.6
c Commercial use requires a licence
c contact igsys@eclipse.net
c
c nodes:              38     arcs:              356
c scale-factor:       12     cut-off-factor:   12.0
c
c time:             0.00     cost:           108424
c refines:             2     discharges:        162
c pushes:            240     relabels:          114
c updates:             2     u-scans:            18
c p-refines:           5     r-scans:           182
c dfs-scans:         418     bad-in:        0  +  0
c
s  108424
f       1       2          1
f       1      12          1
f       1       3          1
f       1      21          1
f       1       4          1
f       1      13          1
f       1       5          1
f       1      14          1
f       1       6          1
f       1      15          1
f       1       7          1
f       1      16          1
f       1       8          1
f       1      17          1
f       1       9          1
f       1      18          1
f       1      10          1
f       1      19          1
f       1      11          1
f       1      20          1
f       2      29          0
f       2      30          0
f       2      31          0
f       2      32          0
f       2      33          0
f       2      34          0
f       2      35          0
f       2      26          0
f       2      36          0
f       2      27          0
f       2      28          0
f       2      37          0
f       2      24          0
f       2      25          0
f       2      23          0
f       2      22          1
f       3      30          0
f       3      22          0
f       3      31          0
f       3      23          0
f       3      32          0
f       3      33          0
f       3      24          0
f       3      25          0
f       3      26          0
f       3      27          0
f       3      28          0
f       3      29          0
f       3      34          1
f       3      36          0
f       3      37          0
f       3      35          0
f       4      31          0
f       4      32          0
f       4      26          0
f       4      33          0
f       4      34          0
f       4      27          0
f       4      35          0
f       4      28          0
f       4      36          0
f       4      37          0
f       4      29          0
f       4      30          0
f       4      23          1
f       4      25          0
f       4      24          0
f       4      22          0
f       5      32          0
f       5      24          0
f       5      33          0
f       5      25          0
f       5      26          0
f       5      27          0
f       5      28          0
f       5      29          0
f       5      22          0
f       5      30          0
f       5      23          0
f       5      31          0
f       5      36          0
f       5      34          1
f       5      37          0
f       5      35          0
f       6      34          0
f       6      35          0
f       6      36          0
f       6      37          0
f       6      33          0
f       6      26          0
f       6      25          1
f       6      27          0
f       6      28          0
f       6      29          0
f       6      22          0
f       6      30          0
f       6      31          0
f       6      23          0
f       6      24          0
f       6      32          0
f       7      22          0
f       7      23          0
f       7      24          0
f       7      25          0
f       7      34          0
f       7      35          0
f       7      27          0
f       7      28          0
f       7      26          0
f       7      29          0
f       7      30          0
f       7      31          0
f       7      36          1
f       7      32          0
f       7      37          0
f       7      33          0
f       8      35          0
f       8      27          0
f       8      28          0
f       8      36          0
f       8      37          0
f       8      29          0
f       8      30          0
f       8      31          0
f       8      32          0
f       8      33          0
f       8      34          0
f       8      26          0
f       8      24          0
f       8      22          1
f       8      23          0
f       8      25          0
f       9      28          0
f       9      29          0
f       9      22          0
f       9      23          0
f       9      30          0
f       9      31          0
